epoch,step,train_loss
0,49,nan
0,99,nan
0,149,nan
0,199,nan
0,249,nan
0,299,nan
0,349,nan
0,399,nan
0,449,nan
0,499,nan
0,549,nan
1,599,nan
1,649,nan
1,699,nan
1,749,nan
1,799,nan
1,849,nan
1,899,nan
1,949,nan
1,999,nan
1,1049,nan
1,1099,nan
2,1149,nan
2,1199,nan
2,1249,nan
2,1299,nan
2,1349,nan
2,1399,nan
2,1449,nan
2,1499,nan
2,1549,nan
2,1599,nan
2,1649,nan
3,1699,nan
3,1749,nan
3,1799,nan
3,1849,nan
3,1899,nan
3,1949,nan
3,1999,nan
3,2049,nan
3,2099,nan
3,2149,nan
3,2199,nan
3,2249,nan
4,2299,nan
4,2349,nan
4,2399,nan
4,2449,nan
4,2499,nan
4,2549,nan
4,2599,nan
4,2649,nan
4,2699,nan
4,2749,nan
4,2799,nan
5,2849,nan
5,2899,nan
5,2949,nan
5,2999,nan
5,3049,nan
5,3099,nan
5,3149,nan
5,3199,nan
5,3249,nan
5,3299,nan
5,3349,nan
6,3399,nan
6,3449,nan
6,3499,nan
6,3549,nan
6,3599,nan
6,3649,nan
6,3699,nan
6,3749,nan
6,3799,nan
6,3849,nan
6,3899,nan
6,3949,nan
7,3999,nan
7,4049,nan
7,4099,nan
7,4149,nan
7,4199,nan
7,4249,nan
7,4299,nan
7,4349,nan
7,4399,nan
7,4449,nan
7,4499,nan
8,4549,nan
8,4599,nan
8,4649,nan
8,4699,nan
8,4749,nan
8,4799,nan
8,4849,nan
8,4899,nan
8,4949,nan
8,4999,nan
8,5049,nan
9,5099,nan
9,5149,nan
9,5199,nan
9,5249,nan
9,5299,nan
9,5349,nan
9,5399,nan
9,5449,nan
9,5499,nan
9,5549,nan
9,5599,nan
9,5649,nan
10,5699,nan
10,5749,nan
10,5799,nan
10,5849,nan
10,5899,nan
10,5949,nan
10,5999,nan
10,6049,nan
10,6099,nan
10,6149,nan
10,6199,nan
11,6249,nan
11,6299,nan
11,6349,nan
11,6399,nan
11,6449,nan
11,6499,nan
11,6549,nan
11,6599,nan
11,6649,nan
11,6699,nan
11,6749,nan
12,6799,nan
12,6849,nan
12,6899,nan
12,6949,nan
12,6999,nan
12,7049,nan
12,7099,nan
12,7149,nan
12,7199,nan
12,7249,nan
12,7299,nan
12,7349,nan
13,7399,nan
13,7449,nan
13,7499,nan
13,7549,nan
13,7599,nan
13,7649,nan
13,7699,nan
13,7749,nan
13,7799,nan
13,7849,nan
13,7899,nan
14,7949,nan
14,7999,nan
14,8049,nan
14,8099,nan
14,8149,nan
14,8199,nan
14,8249,nan
14,8299,nan
14,8349,nan
14,8399,nan
14,8449,nan
